ville
Lille
Roubaix
Tourcoing
Dunkerque
Calais
Villeneuve-d'Ascq
Boulogne-sur-Mer
Douai
Valenciennes
Wattrelos
Arras
Cambrai
Maubeuge
Marcq-en-Baroeul
Lens
Saint-Omer
Béthune
Hazebrouck
Armentières
La Madeleine
